"Farinhas, féculas e massas",Arrozina,148.32,3.8,3.3,26.07,0.3
"Farinhas, féculas e massas",Mucilon,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Mingau de arroz,148.32,3.8,3.3,26.07,0.3
"Farinhas, féculas e massas",Croquinhos de arroz,387,12.94,4.54,77.9,14.5
"Farinhas, féculas e massas",Farinha de aveia,384,16,6.3,67,9.8
"Farinhas, féculas e massas",Aveia em flocos,384,16,6.3,67,9.8
"Farinhas, féculas e massas",Fubá de milho,60.58,1.44,0.2,13,0.26
"Farinhas, féculas e massas",Farinha de milho,351,7.2,1.5,79.1,5.5
"Farinhas, féculas e massas",Puba de milho,311,4.8,12.4,45.1,0.7
"Farinhas, féculas e massas",Puba de fubá,311,4.8,12.4,45.1,0.7
"Farinhas, féculas e massas",Milho moído - Cozido(a),160.14,3.32,7.18,25.11,4.25
"Farinhas, féculas e massas",Mingau de milho,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Amido de milho,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Amido de arroz,148.32,3.8,3.3,26.07,0.3
"Farinhas, féculas e massas",Cremogema,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Vitamilho,128.3,4.35,0.22,26.42,1.71
"Farinhas, féculas e massas",Creme de milho,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Sucrilhos de milho,377,4.7,0.7,88.8,2.1
"Farinhas, féculas e massas",Cereal matinal de milho em flocos,377,4.7,0.7,88.8,2.1
"Farinhas, féculas e massas",Germe de trigo,360,23.15,9.72,51.8,13.2
"Farinhas, féculas e massas",Fibra de trigo,216,15.55,4.25,64.51,42.8
"Farinhas, féculas e massas",Fibra de cereal trigo,216,15.55,4.25,64.51,42.8
"Farinhas, féculas e massas",Farinha de mandioca,361,1.6,0.3,87.9,6.4
"Farinhas, féculas e massas",Farinha de copioba,361,1.6,0.3,87.9,6.4
"Farinhas, féculas e massas",Farinha d'água,361,1.6,0.3,87.9,6.4
"Farinhas, féculas e massas",Cruera,361,1.6,0.3,87.9,6.4
"Farinhas, féculas e massas",Goma de mandioca,336,2,,82,
"Farinhas, féculas e massas",Sagu de mandioca,116.99,4.33,4.1,15.51,0.03
"Farinhas, féculas e massas",Farinha de tapioca,331,0.5,0.3,81.1,0.6
"Farinhas, féculas e massas",Farinha beiju,331,0.5,0.3,81.1,0.6
"Farinhas, féculas e massas",Sagu de tapioca,116.99,4.33,4.1,15.51,0.03
"Farinhas, féculas e massas",Tapioca de goma,336,2,,82,
"Farinhas, féculas e massas",Farinha láctea,396.67,12.67,6.33,73.33,2.67
"Farinhas, féculas e massas",Neston,345.8,12.92,,70.8,6.25
"Farinhas, féculas e massas",Flocos de cereais,365,7.2,1,83.8,4.1
"Farinhas, féculas e massas",Vitaflocos,78.24,2.42,03.06,10.46,0.17
"Farinhas, féculas e massas",Mini pizza semipronta - Cru(a),252.49,10.17,8.22,33.73,1.75
"Farinhas, féculas e massas",Mini pizza semipronta - Cozido(a),252.49,10.17,8.22,33.73,1.75
"Farinhas, féculas e massas",Mini pizza semipronta - Assado(a),252.49,10.17,8.22,33.73,1.75
"Farinhas, féculas e massas",Mini pizza semipronta - Frito(a),252.49,10.17,8.22,33.73,1.75
"Farinhas, féculas e massas",Mini pizza semipronta,252.49,10.17,8.22,33.73,1.75
"Farinhas, féculas e massas",Fibra de soja,70,12,2,74,73
"Farinhas, féculas e massas",Minipastel,319.81,10.38,15.68,33.51,1.45
"Farinhas, féculas e massas",Macarrão  - Cru(a),158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Cozido(a),158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Grelhado(a)/brasa/churrasco,158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Assado(a),158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Frito(a),186.68,5.8,4.17,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Empanado(a)/à milanesa,186.68,5.8,4.17,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Refogado(a),186.68,5.8,4.17,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Molho vermelho,103.73,3.5,1.92,18.27,1.46
"Farinhas, féculas e massas",Macarrão  - Molho branco,158.99,5.42,3.23,26.54,1.48
"Farinhas, féculas e massas",Macarrão  - Ao alho e óleo,186.68,5.8,4.17,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Com manteiga/óleo,182.22,5.83,3.67,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Ao vinagrete,158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Ensopado,186.68,5.8,4.17,30.86,1.8
"Farinhas, féculas e massas",Macarrão  - Sopa,158,5.8,0.93,30.86,1.8
